{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 35.87786259541985 1254.7469961846948
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 35.82995951417004 902.5715077363155
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 35.199999999999996 900.4436931662651
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 36.00917431192661 894.6957378275588
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 36.486486486486484 874.2686373272832
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 34.39153439153439 872.2373161092246
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 33.061594202898554 867.0109158416398
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 35.140562248995984 866.6213669767293
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 35.32934131736527 865.7923755456616
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 35.496957403651116 860.8549238379586
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 34.8294434470377 858.8261400750202
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 34.07707910750507 854.7117009052705
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 34.84848484848485 851.641261808952
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 34.50704225352113 848.0498537877489
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 34.83606557377049 842.463586538165
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 36.45833333333333 826.6495721203521
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 34.91803278688524 826.1422495843443
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 36.63101604278075 819.9820359033588
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 35.63218390804598 816.5720426762825
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 34.53237410071942 807.2102504831812
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 33.68263473053892 801.1320675272276
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 34.891485809682806 800.2404398334924
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 37.570621468926554 777.2637984612785
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 36.19791666666667 768.9618567051472
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 34.42211055276382 768.0797330549942
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 36.36363636363637 760.5855571280539
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 36.70520231213873 760.238006277245
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 37.28813559322034 755.0321509031357
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 34.18013856812933 754.6878838250241
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 34.5679012345679 751.8944804205026
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 36.41618497109826 726.741096393061
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 33.90663390663391 718.3523898744568
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 33.63431151241535 715.9456128132679
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 35.10971786833856 710.2451528103601
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 34.07821229050279 704.2506317765071
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 36.95652173913043 689.0504046938447
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 37.142857142857146 683.302079341371
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 34.47782546494993 679.4246654775613
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 33.804627249357324 676.9003582438577
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 34.26183844011142 674.5323168154334
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 34.005037783375315 672.6890654689837
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 36.91756272401434 670.6395582883332
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 33.7962962962963 665.9176000418149
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 35.3125 665.7241958509384
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 36.72727272727273 659.49193405466
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 33.54037267080746 656.5922628999134
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 35.35031847133758 650.9320171382208
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 33.257918552036195 640.0541492045885
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 37.096774193548384 639.5482845974682
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 33.497536945812804 633.9628411712129
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 37.05179282868526 631.9175951913041
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 32.590529247910865 630.2386717148737
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 36.8 629.1844176105641
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 36.84210526315789 621.8061593175834
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 34.472934472934476 610.9278705640602
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 35.55555555555556 608.6364826338602
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 34.659090909090914 584.4544577236771
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 34.83606557377049 547.6680584253086
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 34.82142857142857 540.901758013042
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 34.097421203438394 540.4160880286236
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 33.33333333333333 535.9175280632118
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 36.12334801762114 534.2373506926134
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 33.376288659793815 500.6785745699479
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 35.68281938325991 483.8493584344023
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 34.375 479.13550182350247
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 34.42622950819672 477.604052078064
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 37.17948717948718 476.98619637330137
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 38.62068965517241 465.78582707491915
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 38.62068965517241 452.63466754904636
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 32.916666666666664 451.3994241876557
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 38.36477987421384 447.86336373512336
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 37.17948717948718 447.35146937591765
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 38.36477987421384 444.7667020020319
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 14} 39.455782312925166 437.48766027069723
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.4, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 14} 39.455782312925166 420.99256525831623
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 33.19502074688796 341.11647550688093
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 32.30912476722533 313.37847062121347
